                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.87135,                0.63404,                 1.2007,                0.77414,                0.67064,                0.70323,                0.45961,                 1.3807,                 1.0607,                 1.5542,              0.0001817,              0.0001817,              0.0001817
                     36,                0.88517,                0.64244,                 1.2161,                0.75103,                0.67923,                0.71215,                0.45333,                 1.3806,                 1.0576,                 1.5609,             0.00017069,             0.00017069,             0.00017069
                     37,                 0.8689,                 0.6264,                 1.2042,                0.79408,                0.67936,                0.71773,                0.46718,                 1.3456,                 1.0462,                 1.5353,             0.00015968,             0.00015968,             0.00015968
                     38,                0.84736,                0.61962,                 1.1966,                 0.7644,                0.66516,                0.69506,                0.45816,                 1.3472,                 1.0924,                 1.5349,             0.00014867,             0.00014867,             0.00014867
                     39,                0.83993,                0.60564,                 1.1836,                0.75631,                0.68236,                0.71525,                0.46717,                 1.3656,                 1.0889,                 1.5509,             0.00013767,             0.00013767,             0.00013767
                     40,                0.83592,                0.60018,                 1.1846,                0.71271,                0.69445,                0.70065,                0.45851,                 1.3685,                 1.0649,                  1.558,             0.00012666,             0.00012666,             0.00012666
                     41,                0.85587,                0.54031,                 1.2126,                0.78321,                0.68184,                0.70612,                0.46579,                 1.3376,                 1.0591,                 1.5285,             0.00011565,             0.00011565,             0.00011565
                     42,                0.83093,                0.50414,                 1.1993,                0.76446,                0.67098,                0.69975,                0.46432,                 1.3412,                 1.0986,                 1.5532,             0.00010464,             0.00010464,             0.00010464
                     43,                  0.809,                0.48958,                 1.1809,                0.76642,                0.66928,                0.70642,                 0.4734,                  1.323,                 1.0764,                 1.5477,              9.363e-05,              9.363e-05,              9.363e-05
                     44,                0.79179,                0.46607,                 1.1635,                0.75343,                0.66194,                0.68974,                0.46046,                 1.3323,                 1.1305,                 1.5502,             8.2622e-05,             8.2622e-05,             8.2622e-05
                     45,                0.77797,                0.45683,                 1.1508,                0.80107,                0.66857,                0.71429,                0.47451,                 1.3526,                 1.0872,                 1.5648,             7.1613e-05,             7.1613e-05,             7.1613e-05
                     46,                0.76734,                 0.4446,                 1.1342,                0.78545,                0.66869,                0.70715,                0.47308,                 1.3328,                 1.1067,                 1.5709,             6.0604e-05,             6.0604e-05,             6.0604e-05
                     47,                0.75322,                0.44053,                 1.1392,                0.79472,                0.66888,                0.70704,                0.47716,                 1.3337,                 1.0901,                 1.5678,             4.9595e-05,             4.9595e-05,             4.9595e-05
                     48,                0.74298,                0.42793,                 1.1326,                 0.7706,                0.66593,                0.70679,                0.47321,                 1.3302,                 1.1022,                  1.573,             3.8586e-05,             3.8586e-05,             3.8586e-05
                     49,                0.73569,                0.42524,                 1.1183,                0.79883,                0.67095,                0.71134,                0.47628,                 1.3267,                 1.1017,                  1.576,             2.7578e-05,             2.7578e-05,             2.7578e-05
                     50,                 0.7281,                0.41885,                 1.1162,                0.77255,                0.68038,                0.71096,                0.47174,                 1.3459,                 1.1069,                 1.5919,             1.6569e-05,             1.6569e-05,             1.6569e-05
